ACTIVATION_DATE,CIRCLE_ID,EMIRATE_NAME,SUBS_KEY,MSISDN,ACQUISITION_REGION,ACQUISITION_POS,PRE_POST_IND,CUSTOMER_TYPE,ACQUISITION_SALES_CHANNEL_KEY,ACQUISITION_CIRCLE_HEAD,ACQUISITION_ZONAL_BRANCH_MANAGER,ACQUISITION_AREA_SALES_MANAGER,ACQUISITION_SALES_PARTNER_CHANNEL_KEY,ACQUISITION_DISTRIBUTOR,ACQUISITION_RETAILER,MIGRATION_TYPE,DISCONNECTION_DATE,ACTIVATION_PRODUCT_ID,NETWORK_TYPE,ACTIVATION_HANDSET,FIRST_USE_DATE,FIRST_USAGES_NW_TOWER_ID,FIRST_USAGES_ZONE,CURRENT_STATUS_OF_SUBSCRIBER,RECORD_INSERT_DATE,RECORD_UPDATE_DATE
2010-01-07 00:00:00.000,7,Um Al Qwain,5.09799E+16,509798827,Um Al Qwain,Safeer Mall,2,Retail,GAA,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,20-05-2018,no package,3G,74455291,2010-01-07 00:00:00.000,NWUm Al Qwain676,Um Al Qwain,Inactive,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000,2,Ajman,5.07651E+16,507650897,Ajman,Safeer Mall,1,Retail,BAA,B-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,BA,B-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,no package,4G,90492138,2010-01-07 00:00:00.000,NWAjman361,Ajman,Active,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000,3,Dubai,5.66205E+16,566205017,Dubai,Burjuman Mall,1,Retail,CBA,C-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,CA,C-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,02-03-2015,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,98527687,2010-01-07 00:00:00.000,NWDubai719,Dubai,Inactive,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000, ,Dubai,5.01769E+16,501769203,Dubai,Deira City Center,1,Retail,CCA,C-Mr. Circle Head Sales,C-Mr. ZBM Sales,A-Mr. ASM Sales,CA,C-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,31-12-9999,0G_10minlocal_0intl_0Groamingdata_0fSMS_1day,3G,97723674,2010-01-07 00:00:00.000,NWDubai568,Dubai,Active,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000,1,Abu Dhabi,5.66965E+16,566964924,Abu Dhabi,Marina Mall,1,Enterprise,ABB,A-Mr. Circle Head Sales,B-Mr. ZBM Sales,B-Mr. ASM Sales,AB,A-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,37740389,2010-01-07 00:00:00.000,NWAbu Dhabi620,Abu Dhabi,Active,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000,2,Ajman,5.08452E+16,508451701,Ajman,Safeer Mall,1,Retail,BAA,B-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,BA,B-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,52298463,2010-01-07 00:00:00.000,NWAjman816,Ajman,Active,2010-01-07 00:00:00.000,06-10-2020
2010-01-07 00:00:00.000,6,Sharjah,5.08986E+16,508985943,Sharjah,Ansar Mall,2,Retail,FDA,F-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,FA,F-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_10minlocal_0intl_0Groamingdata_0fSMS_1day,3G,10976285,2010-01-07 00:00:00.000,NWSharjah812,Sharjah,Active,2010-01-07 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,1,Abu Dhabi,5.6343E+16,563429930,Abu Dhabi,World Trade Center Mall,1,Retail,ADA,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,3G,41489748,2010-01-14 00:00:00.000,NWAbu Dhabi983,Abu Dhabi,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,4,Fujairah,5.08338E+16,508337671,Fujairah,Galleria Mall,2,Retail,DBA,D-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,DA,D-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,37782320,2010-01-14 00:00:00.000,NWFujairah757,Fujairah,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,1,Abu Dhabi,5.02866E+16,502865998,Abu Dhabi,Marina Mall,1,Retail,ABA,A-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,MNP,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,3G,47400340,2010-01-14 00:00:00.000,NWAbu Dhabi992,Abu Dhabi,Active,2010-01-14 00:00:00.000,06-10-2020
